title,url,who,description,imgFilename,tags
an idea for a website ,are.na/ian-mcdonald/an-idea-for-a-website,Iam McDonald,List of ideas who can become a website,are,"[','share','ideas','poetic',']"
Atlas Tom Hackshaw,atlas.tom.so/,Tom Hackshaw,Image atlas from Are.na,atlas,"[','images','compilation',']"
Making a Poetic Website,chiaski.github.io/poeticweb/,Chia Amisola,Chia’s poetic website classes,chiaski,"[','share','poetic','ideas','sky','learn','class',']"
i love it when you,chiaski.github.io/i-love-it-when-you/,Chia Amisola,A list of love moments,chiaski1,"[','list','text','contemplation','poetic','slider','black&white',']"
Offline Only,chrisbolin.co/offline/,Chris Bolin,Reading without distractions,chrisbolin,"[','interaction','offline','reading',']"
CLOUDWATCHING,cloudwatching.glitch.me/,Chia Amisola,Watch the clouds from your computer,cloudwatching,"[','contemplation','sky','draw',']"
Introduction,eastgate.com/garden/Introduction.html,"Eastgate Systems, Inc.",Texts about hypertext structure,eastgate,"[','Non-linear','text','garden',']"
empathi.cc,empathi.cc/,Raphaël Bastide,Experimental website about empathy,empathi,"[','interaction','forms','colors',']"
Every Noise at Once,everynoise.com/,Glenn McDonald,Excerpts of 6291 music genres,everynoise,"[','music','text','share',']"
Fifteen Words,fifteenwords.com,Jess Mae,Poem mixing ,fifteenwords,"[','music','text','share',']"
Forest green,forestgreen.online/,Dima Koskin,CSS colors collection,forestgreen,"[','developper','share','colors',']"
garden of blues,gardenblues.net/,Semine and Nacy,Collection of recipes as a garden,gardenblues,"[','garden
','cooking
','share','recipie','pictograms',']"
Get Well Soon!,getwellsoon.labr.io/,Sam Lavigne and Tega Brain,Collection of comments posted on medical fundraisers,getwellsoon,"[','people
','book','love','text','list','black&white',']"
Gossip’s Café,gossips.cafe/,Elliott Cost,"R.I.P. A virtual coffe where you can share thoughts, music or turn off the light for all.",gossips,"[','text','talk','share','cafe',']"
Perpetual Calendar ,haveagood.today/,Olia Lialina,A long long calendar to send in your email signatures!,haveagood,"[','daily','images','community',']"
HereNow,here-and-now.glitch.me/entered/enter-key.html,Elisa Slaton,HTML note taking!,here-and-now,"[','text','emotions','files',']"
MCDONALDIANGREGORYJAMES,ianmcdonald.ca/,,,ianmcdonald,"[','contemplation','typography','black&white',']"
manifesto – evergreen,itsevergreen.rip/manifesto,,,itsevergreen,"[','music','text','old',']"
leaving website,leaving.live/,,,leaving,"[','contemplation','connections','people',']"
digital love languages,lovelanguages.melaniehoff.com/week-4-%e2%98%84%ef%b8%8e-a-digital-garden/,,,lovelanguages,"[','share','people','garden','class','pictograms',']"
Notpurple,notpurple.com/,,,notpurple,"[','colors',']"
Other Office Home,otheroffice.net/,,,otheroffice,"[','cursor','space','images',']"
Pia Chakraverti-Wuerthwein,piacw.com/,,,piacw,"[','discover','garden','perspective','home',']"
cascade,raphaelbastide.com/cascade/demos/start.html,,Raphael Bastide,raphaelbastide,"[','music','browser','developper','colors',']"
Bell,resounding.website,,,resounding,"[','community','emotions','infinite','gradient',']"
Sinds jij dood bent…,sindsjijdoodbent.nl,,Moniker,sindsjijdoodbent,"[','gradient','poem','writing',']"
stained.otherti.me,stained.otherti.me/,,Raphael Bastide,stained,"[','music','contemplation','video','blur',']"
THE EMOTINOMICON,standard.dev/emotinomicon,,,standard,"[','emotions','text','black&white',']"
Strange.Website,strange.website/,,,strange,"[','text','old',']"
24,sunday.avanier.studio/24,,,sunday,"[','interaction','browser',']"
Wind-poem,taichi.pink/2019-12-16_wind-poem/,,,taichi,"[','contemplation','nature','forms','text',']"
Taichi Wi,taichi.pink/,,,taichi1,"[','perspective','nature','images',']"
LP–20X20,tdingsun.github.io/lp20x20/index,,,tdingsun,"[','friends','music','share',']"
the html review,thehtml.review/,,,thehtml,"[','text','share',']"
thesoundof.love,thesoundof.love/,,,thesoundof,"[','music','contemplation','text','black&white','video','community',']"
This Person Exists,thispersonexists.net/,,,thispersonexists,"[','discover','contemplation','images',']"
secret,tiana.computer/sunday_sites/secret,,Tiana Dueck,tiana,"[','interaction','hover','surprise','text','video',']"
i am tiana,tiana.computer/sunday_sites/reflection/,,,tiana1,"[','discover','text','list',']"
waiting for june,waitingforjune.com/,,,waitingforjune,"[','draw','contemplation','time',']"
Links to useful sites,whatthe.link/,,,whatthe,"[','share','people','list','hover',']"
forexample,yourworldoftext.com/forexample,,,yourworldoftext,"[','text','share','community','black&white',']"
wwwwords,wwwwords.de/,,,words,"[','developper','download','text','files',']"
Your personal cloud,your-personal.cloud/,,,your-personal,"[','images','sky','share','send','images',']"
Studio Yannic Poepperling,yannicpoepperling.de/,,,yannicpoepperling,"[','skeumorphism','images','interaction',']"
Abundant Blue,abundant.blue/,,,abundant,"[','friends','menu','interaction','share',']"
Eric Reh,ericreh.de/en,,,ericreh,"[','forms','hover',']"
Goodbye,goodbyebooks.org/,,,goodbyebooks,"[','skeumorphism','book',']"
Liebermann Kiepe Reddemann,liebermannkiepereddemann.de/,,,liebermannkiepereddemann,"[','text','skeumorphism',']"
Julia Volkmar — Spatial Graphic Design,juliavolkmar.de/,,,juliavolkmar,"[','perspective','text','volume','raw',']"
co-exist.world,co-exist.world/,,,co-exist,"[','images','random','collection',']"
Recent works,tristangac.com/recentworks/,,,tristangac,"[','3D','volume','raw',']"
Schemas of Uncertainty,schemasofuncertainty.com/,,,schemasofuncertainty,"[','text','interaction',']"
"Slussen — Beforecast, by Harald Martin Peter Ström 2012–2015",beforecast.webcam/,,,beforecast,"[','video','discover','surprise','contemplation',']"
Ivy,tdingsun.github.io/ivy/,,,tdingsun,"[','music','text',']"
Example Forth Code,wiki.c2.com/?ExampleForthCode,,,wiki,"[','text','discover','Non-linear',']"
Back to the Future,xanadu.net/XanaduSpace/btf.htm,,,xanadu,"[','perspective','text','Non-linear',']"
Paint with Oils,paint.toys/oil/,,,paint,"[','draw','tool','share',']"
Marks Sunset,marks-sunset.glitch.me/,,,marks-sunset,"[','daily','sunset','contemplation',']"
a-small-memorial.glitch.me,a-small-memorial.glitch.me/,,,a-small-memorial,"[','game','interaction','keyboard',']"
Single Line Drawing,paint.toys/one-line/,,,paint,"[','draw','game','share',']"
Checkbox Race!,checkboxrace.com/,,,checkboxrace,"[','developper','interaction','game',']"
"Today, we saw",thehtml.review/01/today-we-saw.html,,,thehtml,"[','text','images','discover',']"
⊞ □ ⊞ □ ⊞,shelby.cool/windows/,,,shelby,"[','sunset','interaction','contemplation',']"
Maxwell Neely-Cohen,maxy.world/,,,maxy,"[','music','interaction',']"
onlytom.online,onlytom.online/,,,onlytom,"[','share','music',']"
Good title,products.minguhongmfg.com/good-title/,,,products,"[','book','text','share','interaction','skeumorphism',']"
Crouton,crouton.net/,,,crouton,"[','images','code','humor',']"
HEEEEEEEEEEEEEEY!,heeeeeeeey.com/,,Two websites who echo each other,heeeeeeeey,"[','interaction',']"
Work Arnaud Lajeunie,arnaudlajeunie.com/work,,Imagery work portfolio,arnaudlajeunie,"[','images','interaction','text','portfolio',']"
willa smart,willasmart.com/,,Personal website with pictures and texts,willasmart,"[','images','interaction','fullscreen','portfolio',']"
Cyberfeminism Index,cyberfeminismindex.com/,,Collection of things between womens and technology,cyberfeminismindex,"[','archive','book','text','feminism',']"
FORM,c3.hu/collection/form/index.html?,,Game playing withHTML elements,c3,"[','text','code','game','discover',']"
David Kauder,davidkauder.com/,,Big text for this personal website,davidkauder,"[','text','interaction','menu','surprise','images','portfolio',']"
syek99kr.github.iogdrough,yek99kr.github.io/gdrough/,,Colors and data to us,yek99kr,"[','colors','interaction','discover',']"
Digital Garden,digitalgarden.nu/#,,Objects garden,digitalgarden,"[','infinite','garden','images','discover','surprise','perspective',']"
Hannah Blitz Heyman,blitzheyman.com/jewelry.html,,Jewelry shop on th sky,blitzheyman,"[','shop','images','sky','portfolio',']"
Sun Scraper,sun-scraper.com/,,News image archive,sun-scraper,"[','images','fullscreen','contemplation',']"
SKY H1,skyh1.net/,,Unsetted forms for this music producer,skyh1,"[','fonts','skeumorphism',']"
The Magic Door,folder-one.eu/12.58/,,What is hidden behind the doors?,folder-one,"[','perspective','game','sound',']"
On the internet I place my hand on yours,myhandonyours.com/,,Online connection through physical hands,myhandonyours,"[','3D','share','friends','images',']"
DIGITAL POLLUTION,wanhsiu.github.io/-Digital-Pollution/,,Vector-like pollution analyser from a ZIP code,wanhsiu,"[','location','realtime','geometry',']"
Toph Tucker,tophtucker.com/,,Personal website of Toph Trucker playing with patience and raw materials,tophtucker,"[','text','movement','raw',']"
Habitats,companion-platform.org/habitats,,A space of resources necessary for the life and well being of an organism,companion-platform,"[','garden ','share','tutorials',']"
Haiku-Haiku,haiku-haiku.netlify.app/,,People can collaborate to mix their sentences on haikus,haiku-haiku,"[','text','poems','soft',']"
Sammlung Paul Heimbach Künstlerbücher Kataloge,artype.de/Sammlung/,,"Catalogue of authors, artist, signatures, books, art…",artype,"[','book','collection',']"
A real site of Sohyeon,arealsiteofsohyeon.neocities.org/,,Playful website from the artist Sohyeon,arealsiteofsohyeon,"[','gradient','navigation',']"
GUT Magazine,gutmagazine.com/,,Clay font for this Londo-based magazine,gutmagazine,"[','3D','text',']"
Lynne Carty,lynnecarty.info/,,"Website from the illustrator Lynne Carty, where type of content is organised like island ",lynnecarty,"[','navigation','images','collection',']"
Pierre Rousseau,pierrerousseau.info/,,Website of the music maker Pierre Rousseau playing with some tension between the font and geometry,pierrerousseau,"[','geometry','click','black&white',']"
code societies cooperative web page,sfpc.io/codesocieties_students/,,Shared content from the School for Poetic Computation (SFPC),sfpc,"[','collection','colors','text','images',']"
how-i-experience-web-today.com,how-i-experience-web-today.com/,,A vision of the profitable/modern web,how-i-experience-web-today,"[','funny','navigation','loop',']"
zuckerberg.smile,terkelg.github.io/zuckerberg.smile/,,Customize Mark’s smile,terkelg,"[','slider','customize',']"
"open that window .com by rafaël rozendaal, 2014",openthatwindow.com/,,This window protect us from the city,openthatwindow,"[','gradient','sound',']"
Is it Thursday,isitthursday.org/,,Are we on really on thursday?,isitthursday,"[','humor','raw',']"
p2p sunset,duskjacket.com/SUNSET/,,Invite someone to share this sunset,duskjacket,"[','share','gradient',']"
Tranquil words today,tranquil-words.today/,,Specials writing exercises,tranquil-words,"[','writing','invisible',']"
Heavy Manners,heavymannerslibrary.com/,,Beautiful site for a library!,heavymannerslibrary,"[','book','colors','movement',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
,,,,0,"[',']"
